,USAF,YR--MODAHRMN,TEMP,MAX,MIN,CELSIUS
658,28450,201705100400,2.0,,,-1
659,28450,201705100420,2.0,,,-2
660,28450,201705100450,2.0,,,-1
661,28450,201705100500,2.0,,,-1
662,28450,201705100520,2.0,,,-2
663,28450,201705100550,2.0,,,-1
664,28450,201705100600,2.0,2.0,2.0,-1
665,28450,201705100620,2.0,,,-1
666,28450,201705100650,2.0,,,-1
667,28450,201705100700,2.0,,,0
668,28450,201705100720,2.0,,,-1
669,28450,201705100750,2.0,,,-1
670,28450,201705100800,2.0,,,0
671,28450,201705100820,2.0,,,-1
672,28450,201705100850,2.0,,,0
673,28450,201705100900,2.0,,,0
674,28450,201705100920,2.0,,,0
675,28450,201705100950,2.0,,,0
676,28450,201705101000,2.0,,,0
677,28450,201705101020,2.0,,,0
678,28450,201705101050,2.0,,,0
679,28450,201705101100,2.0,,,0
680,28450,201705101120,2.0,,,0
681,28450,201705101150,2.0,,,0
682,28450,201705101200,2.0,,,1
684,28450,201705101250,2.0,,,0
685,28450,201705101300,2.0,,,1
686,28450,201705101320,2.0,,,0
687,28450,201705101350,2.0,,,0
688,28450,201705101400,2.0,,,0
689,28450,201705101420,2.0,,,0
690,28450,201705101450,2.0,,,0
691,28450,201705101500,2.0,,,0
692,28450,201705101520,2.0,,,0
693,28450,201705101550,2.0,,,0
694,28450,201705101600,2.0,,,0
695,28450,201705101620,2.0,,,0
696,28450,201705101650,2.0,,,-1
697,28450,201705101700,2.0,,,0
698,28450,201705101720,2.0,,,-1
699,28450,201705101750,2.0,,,-1
700,28450,201705101800,2.0,2.0,2.0,0
701,28450,201705101820,2.0,,,-1
702,28450,201705101850,2.0,,,-2
703,28450,201705101900,2.0,,,-1
704,28450,201705101920,2.0,,,-2
705,28450,201705101950,2.0,,,-2
706,28450,201705102000,2.0,,,-2
707,28450,201705102020,2.0,,,-2
708,28450,201705102050,2.0,,,-2
709,28450,201705102100,2.0,,,-2
710,28450,201705102120,2.0,,,-2
711,28450,201705102150,2.0,,,-3
712,28450,201705102200,2.0,,,-3
713,28450,201705102220,2.0,,,-2
714,28450,201705102250,2.0,,,-3
715,28450,201705102300,2.0,,,-3
716,28450,201705102320,2.0,,,-3
717,28450,201705102350,2.0,,,-3
718,28450,201705110000,2.0,,,-3
719,28450,201705110020,2.0,,,-3
720,28450,201705110050,2.0,,,-3
721,28450,201705110100,2.0,,,-3
722,28450,201705110120,2.0,,,-3
723,28450,201705110150,2.0,,,-3
724,28450,201705110200,2.0,,,-3
725,28450,201705110220,2.0,,,-3
726,28450,201705110250,2.0,,,-3
727,28450,201705110300,2.0,,,-3
728,28450,201705110320,2.0,,,-3
729,28450,201705110350,2.0,,,-3
730,28450,201705110400,2.0,,,-3
731,28450,201705110420,2.0,,,-3
732,28450,201705110450,2.0,,,-3
733,28450,201705110500,2.0,,,-3
734,28450,201705110520,2.0,,,-2
735,28450,201705110550,2.0,,,-2
736,28450,201705110600,2.0,2.0,2.0,-2
737,28450,201705110620,2.0,,,-2
738,28450,201705110650,2.0,,,-2
739,28450,201705110700,2.0,,,-2
740,28450,201705110720,2.0,,,-2
741,28450,201705110750,2.0,,,-2
742,28450,201705110800,2.0,,,-1
743,28450,201705110820,2.0,,,-2
744,28450,201705110850,2.0,,,-2
745,28450,201705110900,2.0,,,0
